EventDateId,PlayerName,Position,Team,Opp,Minutes,FGM,FGA,FG2M,FG2A,FG3M,FG3A,FTM,FTA,Points,Rebounds,Assists,Steals,Blocks,Usage,Turnovers,Doubles,FantasyPointsDraftKings,FantasyPointsFanDuel
20200811,Admiral Schofield,SF,WAS,MIL,13.80,0,3.50,0,1.70,0.60,1.80,0.40,0.50,4.50,2.00,0.60,0.30,0.10,15.21,0.50,0,8.75,8.50
20200811,Alec Burks,SG,PHI,PHX,30.50,0,12.90,0,8.00,1.80,4.90,3.80,4.40,19.70,5.90,4.30,1.10,0.30,27.58,1.60,1,36.43,35.83
20200811,Alex Len,C,SAC,NOP,18.50,0,6.40,0,5.10,0.40,1.30,1.50,2.30,10.00,6.40,1.10,0.50,1.00,20.56,1.10,1,22.30,22.73
20200811,Anfernee Simons,SG,POR,DAL,10.20,0,3.80,0,2.20,0.60,1.60,0.50,0.70,4.10,1.10,0.60,0.20,0.00,17.10,0.40,0,6.88,6.52
20200811,Anthony Tolliver,PF,MEM,BOS,26.40,0,5.70,0,1.30,1.60,4.40,0.90,1.20,6.90,4.50,1.30,0.40,0.40,11.88,1.20,0,16.28,15.45
20200811,Antonius Cleveland,SG,DAL,POR,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Anzejs Pasecniks,C,WAS,MIL,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Aron Baynes,C,PHX,PHI,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Austin Rivers,SG,HOU,SAS,34.50,0,10.70,0,4.90,2.00,5.80,1.40,2.20,14.20,4.30,2.90,0.90,0.30,17.18,1.00,1,26.83,26.31
20200811,B.J. Johnson,SF,ORL,BKN,15.50,0,4.80,0,2.90,0.70,1.90,0.80,1.10,7.60,1.90,0.50,0.70,0.10,19.79,0.70,0,12.33,12.33
20200811,Ben McLemore,SG,HOU,SAS,32.00,0,10.80,0,3.10,3.00,7.70,1.20,1.60,15.80,3.90,1.30,0.80,0.30,18.28,1.00,1,25.83,24.73
20200811,Boban Marjanovic,C,DAL,POR,8.50,0,3.90,0,3.70,0.10,0.20,1.40,1.80,5.50,3.50,0.40,0.20,0.20,23.75,0.60,0,11.03,10.90
20200811,Boban Marjanovic,C,DAL,POR,8.50,0,3.90,0,3.70,0.10,0.20,1.40,1.80,5.50,3.50,0.40,0.20,0.20,23.75,0.60,0,11.03,10.90
20200811,Bogdan Bogdanovic,SG,SAC,NOP,33.40,0,14.50,0,6.60,2.90,7.90,1.90,2.30,20.00,4.00,4.50,1.30,0.30,23.29,1.90,1,35.45,34.45
20200811,Bradley Wanamaker,PG,BOS,MEM,14.00,0,3.70,0,2.60,0.40,1.10,1.00,1.20,4.60,1.50,1.70,0.70,0.10,15.03,0.90,0,10.38,10.45
20200811,Brandon Clarke,PF,MEM,BOS,26.30,0,9.40,0,8.20,0.50,1.20,1.70,2.20,13.70,7.10,1.80,0.60,1.10,18.73,1.30,1,28.28,28.72
20200811,Brook Lopez,C,MIL,WAS,24.60,0,8.90,0,4.30,1.50,4.60,1.60,1.90,11.50,4.60,1.40,0.60,2.30,19.51,1.10,1,25.35,26.72
20200811,Brook Lopez,C,MIL,WAS,24.60,0,8.90,0,4.30,1.50,4.60,1.60,1.90,11.50,4.60,1.40,0.60,2.30,19.51,1.10,1,25.35,26.72
20200811,Bruno Caboclo,SF,HOU,SAS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Buddy Hield,SG,SAC,NOP,26.60,0,13.90,0,6.00,3.10,7.90,1.50,1.70,19.70,4.20,3.00,0.80,0.20,27.80,1.90,1,32.05,30.34
20200811,Cameron Johnson,PF,PHX,PHI,34.50,0,10.80,0,3.50,2.80,7.30,1.30,1.60,15.40,5.50,1.80,1.00,0.50,15.98,1.00,1,28.88,28.20
20200811,Cameron Payne,PG,PHX,PHI,20.60,0,7.10,0,4.30,1.00,2.80,0.70,0.80,8.50,2.30,3.00,0.80,0.30,18.73,1.30,0,17.93,17.76
20200811,Cameron Reynolds,SG,MIL,WAS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Carmelo Anthony,PF,POR,DAL,34.00,0,14.00,0,9.40,1.70,4.60,2.20,2.70,15.30,6.20,1.20,0.80,0.50,18.99,1.50,1,27.55,26.94
20200811,Carsen Edwards,SG,BOS,MEM,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Cheick Diallo,C,PHX,PHI,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Chimezie Metu,PF,SAS,HOU,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Chris Chiozza,PG,BKN,ORL,31.30,0,9.80,0,4.40,2.10,5.40,0.80,1.00,13.30,4.60,6.50,1.20,0.20,19.78,2.00,1,31.65,30.77
20200811,Chris Clemons,SG,HOU,SAS,8.00,0,3.80,0,1.10,0.90,2.70,0.50,0.60,5.00,1.00,0.90,0.20,0.10,26.68,0.50,0,8.40,7.95
20200811,CJ McCollum,SG,POR,DAL,39.00,0,20.80,0,12.90,3.00,7.90,2.30,2.80,24.50,4.70,4.50,0.70,0.50,23.55,1.70,1,40.18,38.79
20200811,Corey Brewer,SF,SAC,NOP,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Cory Joseph,PG,SAC,NOP,30.20,0,7.10,0,4.60,0.90,2.50,0.70,1.00,8.10,3.40,4.90,1.10,0.30,13.08,1.30,0,22.30,22.43
20200811,D.J. Augustin,PG,ORL,BKN,27.40,0,8.70,0,4.80,1.50,3.90,2.70,3.10,14.80,2.30,6.00,0.70,0.00,21.64,1.50,1,28.08,27.16
20200811,D.J. Wilson,PF,MIL,WAS,22.00,0,7.20,0,3.90,1.10,3.30,0.60,1.00,8.70,5.50,1.60,0.30,0.40,17.59,1.10,0,19.38,18.70
20200811,Damian Lillard,PG,POR,DAL,40.10,0,21.70,0,11.20,4.10,10.50,7.30,8.10,33.80,5.00,8.10,1.10,0.40,27.18,2.90,1,55.80,53.55
20200811,Daniel Theis,C,BOS,MEM,26.80,0,7.40,0,5.70,0.60,1.70,1.50,2.00,10.00,6.70,1.90,0.70,1.70,14.21,1.00,1,25.83,27.09
20200811,Danuel House,SF,HOU,SAS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,DaQuan Jeffries,SG,SAC,NOP,28.50,0,8.50,0,4.90,1.10,3.60,1.60,2.00,11.60,5.30,2.10,0.70,0.30,16.43,1.10,1,23.38,23.01
20200811,Dario Saric,PF,PHX,PHI,22.00,0,7.30,0,4.00,1.20,3.30,1.40,1.70,10.70,5.70,1.70,0.50,0.20,18.54,1.20,1,21.78,20.99
20200811,David Nwaba,SG,HOU,SAS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,De'Anthony Melton,PG,MEM,BOS,22.00,0,7.20,0,4.70,0.80,2.50,1.40,1.90,8.30,3.80,3.60,1.40,0.50,18.88,1.80,0,21.75,22.16
20200811,Deandre Ayton,C,PHX,PHI,33.20,0,15.00,0,14.80,0.10,0.20,2.10,2.80,20.90,9.90,2.00,0.70,1.20,24.08,1.90,1,39.18,39.58
20200811,Dejounte Murray,PG,SAS,HOU,30.40,0,11.40,0,9.60,0.60,1.80,1.70,2.30,14.90,6.90,4.80,2.10,0.40,22.13,2.40,1,34.83,35.48
20200811,Delon Wright,SG,DAL,POR,17.10,0,4.70,0,3.20,0.50,1.50,0.90,1.20,5.30,2.90,2.40,0.80,0.30,13.22,0.70,0,14.63,14.98
20200811,Delon Wright,SG,DAL,POR,17.10,0,4.70,0,3.20,0.50,1.50,0.90,1.20,5.30,2.90,2.40,0.80,0.30,13.22,0.70,0,14.63,14.98
20200811,DeMar DeRozan,SF,SAS,HOU,32.50,0,14.80,0,14.30,0.10,0.50,5.10,6.10,24.30,5.30,5.70,0.90,0.30,27.79,2.40,1,40.73,40.41
20200811,DeMarre Carroll,SF,HOU,SAS,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00
20200811,Derrick Favors,C,NOP,SAC,23.50,0,6.70,0,6.30,0.10,0.40,1.10,1.80,10.60,9.10,1.50,0.50,0.80,17.36,1.00,1,26.38,26.67
20200811,Derrick White,SG,SAS,HOU,32.10,0,10.50,0,6.80,1.30,3.70,2.90,3.60,17.20,4.60,4.90,1.00,1.10,19.79,1.90,1,34.20,34.47
20200811,Devin Booker,SG,PHX,PHI,35.60,0,18.30,0,12.50,2.00,5.80,6.30,7.00,31.40,4.50,7.00,0.70,0.20,31.31,3.90,1,48.38,46.10
20200811,Dillon Brooks,SG,MEM,BOS,32.90,0,16.10,0,10.00,2.20,6.10,2.50,3.20,18.00,3.40,2.30,1.00,0.40,24.91,1.90,1,28.65,27.83
20200811,Donta Hall,PF,BKN,ORL,22.00,0,5.00,0,5.00,0.00,0.00,1.60,2.70,8.50,7.60,0.40,0.50,1.00,16.53,1.00,0,21.10,21.72
20200811,Dorian Finney-Smith,PF,DAL,POR,34.70,0,8.60,0,3.90,1.70,4.70,1.30,1.70,10.50,7.70,1.70,0.80,0.70,11.48,1.10,1,25.98,25.69
