,Player,FP,Cost,Value,Min,Pts,Reb,Ast,Stl,Blk,TO
,Unnamed: 0_level_0,Fantasy,Fantasy,Fantasy,Stats,Stats,Stats,Stats,Stats,Stats,Stats
1,James Harden PG/SGIND  @  HOUWed 4:00pm,58.9,"$11,100",5.31,33.33,33.4,6.9,8.1,1.5,0.7,3.7
1,Kawhi Leonard SFLAC  @  DEN OUTWed 9:00pm,48,"$9,500",5.05,34.32,25.8,7.4,5.3,2,0.6,2.8
1,Nikola Jokic CLAC  @  DENWed 9:00pm,44.5,"$9,200",4.84,32.26,19.7,9.8,6.6,1.1,0.7,2.9
1,Joel Embiid CTOR  @  PHIWed 6:30pm,43.7,"$9,900",4.42,28.58,20.2,11.1,3,0.9,1.3,2.7
1,Bam Adebayo CMIA  @  OKCWed 8:00pm,43.5,"$7,700",5.65,34.16,17.2,10.7,5.2,1.2,1.3,2.8
1,Paul George SFLAC  @  DEN OUTWed 9:00pm,42.1,"$8,400",5.01,33.39,22.1,6.5,4.5,1.8,0.6,3
1,Jimmy Butler SG/SFMIA  @  OKC OUTWed 8:00pm,40.1,"$7,800",5.14,33.38,19.8,6.1,6,1.7,0.5,2
1,Michael Porter Jr. SF/PFLAC  @  DENWed 9:00pm,38.1,"$7,600",5.01,33.46,18.9,9.8,1.6,1.1,1.1,1.9
1,Malcolm Brogdon PGIND  @  HOUWed 4:00pm,36.8,"$7,200",5.11,34.08,18.4,4.8,7.3,0.8,0.2,2.5
1,Tobias Harris SF/PFTOR  @  PHIWed 6:30pm,35,"$8,000",4.38,34.58,19.5,6.7,2.8,0.8,0.6,1.5
1,Chris Paul PGMIA  @  OKCWed 8:00pm,34.9,"$8,200",4.26,29.15,17.1,4.3,6.4,1.4,0.2,2.1
1,Pascal Siakam PFTOR  @  PHIWed 6:30pm,34.2,"$7,500",4.56,29.75,19,6.4,2.7,0.9,0.7,2
1,Shai Gilgeous-Alexander PG/SGMIA  @  OKCWed 8:00pm,33.7,"$7,400",4.56,35.07,18.5,5.7,3.2,1.1,0.7,1.9
1,Kyle Lowry PGTOR  @  PHIWed 6:30pm,33.5,"$8,600",3.9,30.38,16.3,4.1,6.2,1,0.4,2.5
1,Fred VanVleet PG/SGTOR  @  PHIWed 6:30pm,32,"$7,300",4.38,30.74,15.5,3.4,5.6,1.5,0.3,2
1,Victor Oladipo SG/SFIND  @  HOU GTDWed 4:00pm,31.5,"$6,000",5.24,32.41,17.8,4.4,3.6,1.3,0.2,2.5
1,Jamal Murray PGLAC  @  DENWed 9:00pm,30.9,"$7,000",4.41,29.45,17.5,3.6,4.2,1.1,0.3,2.1
1,Robert Covington SF/PFIND  @  HOUWed 4:00pm,30.6,"$6,800",4.5,32.26,13.7,6.6,1.6,1.6,1.3,1.6
1,Myles Turner CIND  @  HOU GTDWed 4:00pm,30.4,"$6,600",4.61,33.27,13.3,7.2,1.2,0.8,2.3,1.3
1,Al Horford PF/CTOR  @  PHIWed 6:30pm,29.9,"$6,400",4.67,29.56,12.6,6.6,3.5,0.9,0.9,1.1
1,Danilo Gallinari SF/PFMIA  @  OKCWed 8:00pm,29.2,"$6,200",4.71,28.54,17.9,5.1,1.8,0.6,0.1,1.2
1,Louis Williams PG/SGLAC  @  DEN GTDWed 9:00pm,29.1,"$5,500",5.29,27.67,16.8,2.6,5.4,0.6,0.1,2.6
1,Steven Adams CMIA  @  OKC OUTWed 8:00pm,28.8,"$6,700",4.3,27.45,10.9,9.1,2.2,0.8,1.2,1.5
1,Goran Dragic PGMIA  @  OKC OUTWed 8:00pm,28.4,"$5,300",5.35,27.61,15.8,3.1,4.7,0.7,0.2,2.4
1,Josh Richardson SG/SFTOR  @  PHIWed 6:30pm,28.4,"$5,700",4.97,34.25,15.3,3.6,3.3,1.1,0.8,2.1
1,Aaron Holiday PG/SGIND  @  HOUWed 4:00pm,28.3,"$4,600",6.15,33.94,14.3,3.3,4.6,1.1,0.3,1.7
1,Reggie Jackson PGLAC  @  DENWed 9:00pm,27.7,"$5,100",5.43,32.3,14.4,3.7,4.9,0.4,0.1,2
1,Ivica Zubac CLAC  @  DENWed 9:00pm,27.3,"$5,800",4.71,24.61,10.2,9.6,1.3,0.5,1.4,1.3
1,Serge Ibaka CTOR  @  PHIWed 6:30pm,26.8,"$5,300",5.05,24.16,13.8,7.1,1.3,0.4,0.8,1.7
1,Marcus Morris SF/PFLAC  @  DENWed 9:00pm,26.4,"$5,200",5.08,32.12,15,5.1,1.5,0.7,0.5,1.6
1,Justin Holiday SG/SFIND  @  HOUWed 4:00pm,24.6,"$3,600",6.84,33.1,11.4,4.5,1.5,1.4,0.9,0.9
1,Norman Powell SG/SFTOR  @  PHIWed 6:30pm,24.3,"$5,300",4.58,26.14,14.2,3.5,1.7,1.1,0.3,1.3
1,Marc Gasol CTOR  @  PHIWed 6:30pm,22.9,"$4,300",5.33,24.74,7.9,5.9,3,0.7,0.9,1.4
1,Jerami Grant PFLAC  @  DENWed 9:00pm,22.8,"$4,900",4.66,29.11,12.7,3.9,1.2,0.8,0.8,1
1,OG Anunoby SF/PFTOR  @  PHIWed 6:30pm,22.8,"$5,000",4.56,30.03,10.5,4.8,1.6,1.3,0.6,1.1
