,projected_ownership,pts/$
James Harden,0.99,5.44
Aaron Holiday,0.93,6.68
Justin Holiday,0.88,7.03
Victor Oladipo,0.83,5.9
Doug McDermott,0.61,6.5
T.J. McConnell,0.52,7.11
Joel Embiid,0.47,4.86
Bam Adebayo,0.29,5.25
Robert Covington,0.23,4.86
Nikola Jokic,0.22,4.71
Myles Turner,0.21,5.13
Jimmy Butler,0.18,4.97
Jeff Green,0.16,5.54
Goran Dragic,0.16,5.42
Kawhi Leonard,0.13,4.85
Michael Porter,0.12,0.0
Paul George,0.09,4.8
Nerlens Noel,0.09,4.8
Al Horford,0.07,4.64
Monte Morris,0.06,4.91
Shai Gilgeous-Alexander,0.06,4.75
PJ Dozier,0.05,5.32
Paul Millsap,0.05,4.66
Derrick Jones,0.05,0.0
Tobias Harris,0.04,4.53
Duncan Robinson,0.04,4.79
David Nwaba,0.04,2.95
Reggie Jackson,0.04,4.88
Mason Plumlee,0.04,4.77
Austin Rivers,0.03,4.68
Jakarr Sampson,0.03,7.47
Edmond Sumner,0.03,5.38
Josh Richardson,0.03,4.72
Torrey Craig,0.03,5.0
Marc Gasol,0.02,4.67
Ben McLemore,0.02,4.39
Danilo Gallinari,0.02,4.36
Jerami Grant,0.02,4.34
Pascal Siakam,0.01,4.28
Chris Paul,0.01,4.36
Lou Williams,0.01,4.73
Andre Roberson,0.01,3.16
Furkan Korkmaz,0.01,4.66
Serge Ibaka,0.01,4.69
Kelly Olynyk,0.01,4.0
Ivica Zubac,0.01,4.64
Hamidou Diallo,0.01,4.01
Matisse Thybulle,0.01,4.33
Jamal Murray,0.01,4.39
Eric Gordon,0.01,4.84
Shake Milton,0.01,4.54
Jae Crowder,0.0,4.27
JaMychal Green,0.0,4.26
Raul Neto,0.0,3.74
Steven Adams,0.0,4.29
OG Anunoby,0.0,4.1
Patrick Patterson,0.0,4.21
Norman Powell,0.0,4.51
