"Player, POS",Team/Opp,▴,Proj / $1K,,Proj / $1K,,Proj / $1,Min/Game,DvP Rank,O/U,Spread,Line,Rating
"Giannis Antetokounmpo, PF",MIL @ WAS,"$11,000",5,"$10,500",5.3,$57,1,30.75,16,229.5,8,-359,Upgrade
"James Harden, PG",HOU @ SA,"$10,800",5.1,"$11,400",5,$55,1,36.68,22,,2,-131,Upgrade
"Luka Doncic, PG",DAL v. POR,"$10,500",0,"$10,800",0,$55,0,33.89,18,,2,112,Upgrade
"Damian Lillard, PG",POR @ DAL,"$9,900",4.7,"$9,800",4.9,$48,1,37.32,13,,2,-136,Upgrade
"Russell Westbrook, PG",HOU @ SA,"$9,400",5,"$9,300",5.1,$48,1,36.1,22,,2,-131,Upgrade
"Joel Embiid, C",PHI v. PHO,"$8,800",5,"$10,000",4.5,$49,0.9,29.99,24,,8,270,Upgrade
"De'Aaron Fox, PG",SAC v. NO,"$8,500",4.2,"$8,100",4.4,$38,0.9,32.05,27,,1,-105,Upgrade
"Kristaps Porzingis, PF",DAL v. POR,"$8,500",6.4,"$8,200",6.6,$39,1.4,31.75,29,,2,112,Upgrade
"Jusuf Nurkic, C",POR @ DAL,"$8,500",4.8,"$9,000",4.4,$39,1.1,31.9,22,,2,-136,Upgrade
"Jayson Tatum, SF",BOS @ MEM,"$8,200",4.7,"$7,800",5,$41,0.9,34.4,14,225,4,-168,Upgrade
"Devin Booker, SG",PHO @ PHI,"$8,100",5.1,"$8,800",4.9,$37,1.1,35.87,12,,8,-335,Upgrade
"Caris Levert, SG",BKN @ ORL,"$8,100",4.9,"$7,400",5.5,$34,1.2,29.48,22,,-6,206,Upgrade
"Nikola Vucevic, C",ORL v. BKN,"$7,900",5,"$8,600",4.7,$38,1,32.53,29,,-6,-249,Upgrade
"Jrue Holiday, PG",NO @ SAC,"$7,700",4.8,"$8,700",4.3,$32,1.2,34.7,19,,1,-115,Upgrade
"Deandre Ayton, C",PHO @ PHI,"$7,700",4.7,"$7,900",4.5,$35,1,32.72,3,,8,-335,Upgrade
"DeMar DeRozan, SG",SA v. HOU,"$7,700",6,"$8,000",5.8,$35,1.3,34.15,27,,2,110,Upgrade
"Ja Morant, PG",MEM v. BOS,"$7,400",5.9,"$8,300",5.4,$34,1.3,30.74,2,225,4,139,Upgrade
"C.J. McCollum, SG",POR @ DAL,"$7,400",4.9,"$7,600",4.9,$34,1.1,36.38,10,,2,-136,Upgrade
"Tobias Harris, SF",PHI v. PHO,"$7,400",4.7,"$8,500",4.1,$32,1.1,34.58,16,,8,270,Upgrade
"Jarrett Allen, C",BKN @ ORL,"$7,400",4.9,"$6,900",5.1,$27,1.3,26.3,4,,-6,206,Upgrade
"Thomas Bryant, C",WAS v. MIL,"$7,300",3.9,"$7,300",3.9,$27,1,24.73,8,229.5,8,283,Upgrade
"Brandon Ingram, SF",NO @ SAC,"$7,300",5,"$8,400",4.5,$34,1.1,33.93,18,,1,-115,Upgrade
"Jonas Valanciunas, C",MEM v. BOS,"$7,300",5.2,"$7,200",5.3,$25,1.5,26.29,5,225,4,139,Upgrade
"Khris Middleton, SF",MIL @ WAS,"$7,200",4.8,"$7,700",4.7,$30,1.2,30.04,25,229.5,8,-359,Upgrade
"Derrick White, PG",SA v. HOU,"$6,900",4.3,"$6,100",4.8,$27,1.1,24.64,16,,2,110,Upgrade
"Zion Williamson, PF",NO @ SAC,"$6,800",4.4,"$7,500",4,$26,1.1,27.84,1,,1,-115,Upgrade
"Robert Covington, SF",HOU @ SA,"$6,800",4.3,"$6,700",4.3,$29,1,30.57,26,,2,-131,Upgrade
"Lonzo Ball, PG",NO @ SAC,"$6,700",4.8,"$6,400",5.2,$32,1,32.2,19,,1,-115,Upgrade
"Jaylen Brown, SG",BOS @ MEM,"$6,700",4.9,"$7,100",4.7,$29,1.1,34.03,24,225,4,-168,Upgrade
"Dejounte Murray, PG",SA v. HOU,"$6,600",5.2,"$6,200",5.5,$24,1.4,25.33,16,,2,110,Upgrade
"Gordon Hayward, SF",BOS @ MEM,"$6,400",4.9,"$7,000",4.6,$29,1.1,33.5,14,225,4,-168,Upgrade
"Ricky Rubio, PG",PHO @ PHI,"$6,400",5.4,"$6,600",5.3,$28,1.2,31.23,3,,8,-335,Upgrade
"Troy Brown, SF",WAS v. MIL,"$6,300",3.9,"$6,000",4.1,$23,1.1,25.64,10,229.5,8,283,Upgrade
"Aaron Gordon, PF",ORL v. BKN,"$6,300",4.9,"$6,800",4.6,$29,1.1,32.54,6,,-6,-249,Upgrade
"Al Horford, PF",PHI v. PHO,"$6,200",4.8,"$6,300",4.7,$22,1.3,30.54,10,,8,270,Upgrade
"Rui Hachimura, PF",WAS v. MIL,"$6,100",4.1,"$5,700",4.4,$20,1.3,30.1,15,229.5,8,283,Upgrade
"Brook Lopez, C",MIL @ WAS,"$6,000",4.3,"$5,300",4.6,$22,1.2,26.88,27,229.5,8,-359,Upgrade
"Brandon Clarke, PF",MEM v. BOS,"$5,800",4.5,"$5,000",5.1,$19,1.4,22.19,14,225,4,139,Upgrade
"Tim Hardaway Jr., SF",DAL v. POR,"$5,800",6.1,"$5,700",6.5,$16,2.2,29.48,13,,2,112,Upgrade
"Ish Smith, PG",WAS v. MIL,"$5,700",4.4,"$5,300",4.7,$20,1.3,26.22,11,229.5,8,283,Upgrade
"Eric Bledsoe, PG",MIL @ WAS,"$5,700",5.2,"$5,500",5.5,$20,1.5,27.1,26,229.5,8,-359,Upgrade
"Dillon Brooks, SF",MEM v. BOS,"$5,700",5,"$5,400",5.4,$20,1.4,28.83,3,225,4,139,Upgrade
"Daniel Theis, PF",BOS @ MEM,"$5,700",4.3,"$5,400",4.4,$18,1.4,24.18,26,225,4,-168,Upgrade
"Rudy Gay, SF",SA v. HOU,"$5,700",4.6,"$5,800",4.6,$18,1.5,21.86,30,,2,110,Upgrade
"Bogdan Bogdanovic, SG",SAC v. NO,"$5,600",4.3,"$5,500",4.5,$21,1.1,28.83,18,,1,-105,Upgrade
"Kemba Walker, PG",BOS @ MEM,"$5,500",6.1,"$6,500",5.4,$23,1.5,31.17,23,225,4,-168,Upgrade
"Derrick Favors, PF",NO @ SAC,"$5,400",4.8,"$5,100",4.9,$18,1.4,24.36,1,,1,-115,Upgrade
"Marcus Smart, PG",BOS @ MEM,"$5,400",5.2,"$5,600",5,$19,1.5,32.04,23,225,4,-168,Upgrade
"Carmelo Anthony, PF",POR @ DAL,"$5,400",5,"$5,600",5,$20,1.4,32.69,11,,2,-136,Upgrade
"Evan Fournier, SF",ORL v. BKN,"$5,300",5.2,"$5,600",5.1,$19,1.4,31.45,17,,-6,-249,Upgrade
