player_id,team,opp,pos,name,fpts,proj_own,minutes,min_exposure,max_exposure
555145,MIA,OKC,SG/SF,Duncan Robinson,23.44,15.81,32,0,100
1040,MIA,OKC,PG,Goran Dragic,26.54,25.69,27,0,100
16848,OKC,MIA,C,Steven Adams,28.16,1.81,26,0,100
35226,LAC,DEN,C,Ivica Zubac,26.82,7.95,25,0,100
37860,DEN,LAC,PG,Monte Morris,21.49,16.71,26,0,100
18577,IND,HOU,PF,JaKarr Sampson,14.88,5,19,0,100
37835,MIA,OKC,C,Bam Adebayo,37.1,28.62,32,0,100
13327,MIA,OKC,SG/SF,Jimmy Butler,37.31,23.64,32,0,100
31821,PHI,TOR,PG,Raul Neto,15.41,,18,0,100
18575,OKC,MIA,C,Nerlens Noel,20.84,29.51,20,0,100
1044,LAC,DEN,PG/SG,Lou Williams,25.49,6.96,27,0,100
18576,DEN,LAC,PF,Jerami Grant,20.75,2.05,26,0,100
16849,OKC,MIA,SF/PF,Andre Roberson,5.41,0.11,8,0,100
13942,MIA,OKC,PF,Jae Crowder,20.32,1.73,26,0,100
1174,HOU,IND,PF/C,DeMarre Carroll,8.95,,12,0,100
1131659,OKC,MIA,PF/C,Darius Bazley,18.41,1.65,24,0,100
18729,LAC,DEN,PF/C,JaMychal Green,16.96,1.61,22,0,100
16798,DEN,LAC,C,Mason Plumlee,18.85,1.49,18,0,100
409175,DEN,LAC,SF/PF,Keita Bates-Diop,4.54,0.1,6,0,100
1115334,MIA,OKC,SG,Tyler Herro,22.38,2.63,26,0,100
35179,OKC,MIA,PF,Abdel Nader,12.04,0.14,16,0,100
1260,LAC,DEN,PF,Patrick Patterson,12.74,1.41,20,0,100
37848,DEN,LAC,PG,P.J. Dozier,15.55,0.1,19,0,100
16845,MIA,OKC,PF/C,Kelly Olynyk,20.97,1.25,22,0,100
17379,OKC,MIA,C,Mike Muscala,6.96,0.1,8,0,100
16850,LAC,DEN,SG/SF,Rodney McGruder,8.39,0.12,14,0,100
1115482,DEN,LAC,PF/C,Bol Bol,7.95,0.11,7,0,100
1334,MIA,OKC,SG/SF,Andre Iguodala,17.68,3.35,23,0,100
408800,OKC,MIA,SG/SF,Hamidou Diallo,11.77,0.1,16,0,100
1115590,LAC,DEN,PG,Terance Mann,7.86,0.12,10,0,100
36064,MIA,OKC,SF/PF,Derrick Jones Jr.,16.15,7.93,20,0,100
37871,OKC,MIA,SF,Terrance Ferguson,5.72,0.11,10,0,100
1087,OKC,MIA,PG,Chris Paul,34.44,2.21,28,0,100
1141787,TOR,PHI,SG,Matt Thomas,12.07,0.13,16,0,100
18963,HOU,IND,PG/SG,Michael Frazier,11.68,0.1,16,0,100
37880,TOR,PHI,PF/C,Chris Boucher,15.56,0.14,14,0,100
37818,IND,HOU,SG/SF,Edmond Sumner,13.28,3.9,17,0,100
1057,TOR,PHI,PG,Kyle Lowry,31,1.53,28,0,100
409061,PHI,TOR,PG,Shake Milton,24.57,3,30,0,100
1115261,IND,HOU,C,Goga Bitadze,3.88,0.11,4,0,100
36011,TOR,PHI,PG/SG,Fred VanVleet,28.38,1.52,28,0,100
18922,PHI,TOR,SG/SF,Josh Richardson,26.31,13.86,32,0,100
1037,HOU,IND,PG/SG,James Harden,58.79,64.68,33,0,100
37807,TOR,PHI,SF/PF,OG Anunoby,18.81,1,26,0,100
